Unit_Type,Model_number,Manufacturer,Nominal_Tonnage,CFM,HP,ESP,RPM,Cooling_EAT_DB,Cooling_EAT_WB,Cooling_LAT_DB,Cooling_LAT_WB,Cooling_Total_Capacity,Cooling_Sensible_Capacity,EER,SEER/IEER,Heating_EAT,Heating_LAT,Heating_Capacity,Heating_Gas_Input,Heatpump_Total Capacity,Heat_Pump_HSPF,Electric_Heat_Capacity,Voltage,MCA,MOCP,Weight
AC,KJ037N06D2BEAAA5A1,Tempmaster,3,1200,1.5,1.5,1070,80,67,58.8,57,38,27.5,12.5,14.7,60,97.8,49,60,,,,208-3-60,22.7,30,925
AC,KJ037N08D2BEAAA5A1,Tempmaster,3,1200,1.5,1.5,1070,80,67,58.8,57,38,27.5,12.5,14.7,60,110.2,65,80,,,,208-3-60,22.7,30,925
AC,KJ049N06D2BEAAA5A1,Tempmaster,4,1600,1.5,1.5,1140,80,67,58.6,56.7,51.4,36.9,12.3,14.7,60,88.4,49,60,,,,208-3-60,22,30,960
AC,KJ049N08D2BEAAA5A1,Tempmaster,4,1600,1.5,1.5,1140,80,67,58.6,56.7,51.4,36.9,12.3,14.7,60,97.6,65,80,,,,208-3-60,22,30,960
AC,KJ049N12D2BEAAA5A1,Tempmaster,4,1600,1.5,1.5,1140,80,67,58.6,56.7,51.4,36.9,12.3,14.7,60,116.1,97,120,,,,208-3-60,22,30,960
AC,KJ061N08D2BEAAA5A1,Tempmaster,5,2000,2,1.5,1191,80,67,58.4,56.6,65.3,46.7,12.5,14.7,60,90.1,65,80,,,,208-3-60,29.6,40,955
AC,KJ061N12D2BEAAA5A1,Tempmaster,5,2000,2,1.5,1191,80,67,58.4,56.6,65.3,46.7,12.5,14.7,60,104.9,97,120,,,,208-3-60,29.6,40,955
AC,KJ061N16D2BEAAA5A1,Tempmaster,5,2000,2,1.5,1191,80,67,58.4,56.6,65.3,46.7,12.5,14.7,60,120.2,130,160,,,,208-3-60,29.6,40,975
AC,KJ078N12R2BEAAA5A1,Tempmaster,6.5,2600,2,1.5,1113,80,67,59.9,57.3,79.8,56.5,12,15.8,60,94.5,97,120,,,,208-3-60,32.6,40,1225
AC,KJ078N18R2BEAAA5A1,Tempmaster,6.5,2600,2,1.5,1113,80,67,59.9,57.3,79.8,56.5,12,15.8,60,112,146,180,,,,208-3-60,32.6,40,1225
